#Programa,Categoría funcional,Categoría económica,Fecha,NIF,Nombre empresa,Descripción,Importe
Administración General ,920,22709,2019-01-01,A08663619,"CAIXABANK, S.A.",CAIXA 479 INTERESES-COMISIONES-GASTOS,12.0
Administración General ,920,22709,2019-01-01,A08663619,"CAIXABANK, S.A.",CAIXA 1616 INTERESES-COMISIONES-GASTOS,12.0
Administración General ,920,22709,2019-01-02,A39000013,BANCO SANTANDER SA,BSCH COMISIONES TPV,83.79
Promoción cultural,334,22609,2019-01-03,0.0,0.0,Expte 7827/2018 Navidad 7 CULTURA. Anualidad 2019 EXPTE P.JUSTIFICAR 138/2019,1250.0
Administración General ,920,22709,2019-01-03,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA,BBVA INTERESES-COMISIONES-GASTOS,10.89
Deuda Pública,011,91100,2019-01-08,Q2820009E,IDAE INSTITUTO PARA LA DIVERSIFICACION Y AHORRO ENERGETICO,Expte 178/2019 Amoritizacion Prestamo IDAE 2019,145.69
Deuda Pública,011,91100,2019-01-08,Q2820009E,IDAE INSTITUTO PARA LA DIVERSIFICACION Y AHORRO ENERGETICO,Expte 178/2019 Amoritizacion Prestamo IDAE 2019,141257.72
Administración General ,920,22709,2019-01-11,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,1.21
Administración General ,920,22709,2019-01-14,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,1.21
Administración General ,920,22709,2019-01-14,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA,BBVA INTERESES-COMISIONES-GASTOS,12.87
Administración General ,920,22709,2019-01-15,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,3.63
Administración General ,920,22709,2019-01-16,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,1.21
Administración General ,920,22709,2019-01-16,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,10.89
Administración General ,920,22501,2019-01-17,S2826051A,DIRECCION GENERAL CATASTRO MADRID,Expte 4402/2018 - Regularizacion Catastral: Cuatro parcela a 60 euros . Paraje Cabeza Mediana  Propuesta resolucion con acuerdo alteracion/Paraje Dehesa de Arriba  Propuesta resolucion con acuerdo alteracion/ Paraje Cercas del Rubio Propuesta resolucion con acuerdo alteracion/   Cl Cañada 50 Acuerdo alteracion de descripcion catastral,240.0
Administración General ,920,22709,2019-01-17,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,1.21
Administración General ,920,22709,2019-01-17,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,2.42
Administración General ,920,22709,2019-01-17,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,1.21
Administración General ,920,22709,2019-01-17,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,1.21
"Adm.General Comercio,turismo y PIMES",430,22606,2019-01-18,0.0,0.0,EXPTE 7829/2018 FITUR 2019 - EXPTE 627/19 P.JUSTIFICAR,500.0
Administración General ,920,22709,2019-01-18,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,2.42
Administración General ,920,22709,2019-01-18,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,15.73
Administración General de servicios sociales,230,46300,2019-01-21,P7804502H,MANCOMUNIDAD DE SERVICIOS SOCIALES THAM,Expte 9605/2018. Aportaciones municipales Presupuesto Mancomunidad THAM 2019. Primer Semestre de 2019,131618.98
Administración General ,920,22709,2019-01-21,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,1.21
Administración General ,920,22709,2019-01-21,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,4.84
Juventud,339,22609,2019-01-22,0.0,0.0,Expte 653/2019 Menor. Objeto: ALOJAMIENTO ALBERGUE EL ESCORIAL,2311.88
Administración General ,920,22709,2019-01-22,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,2.42
Administración General ,920,22709,2019-01-23,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,1.21
